Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
143 trigger=accur_.|9/** [reward] curr=1.62 best=-6.05
144 trigger=accur_.|9/** [reward] curr=1.54 best=-6.05
145 trigger=accur_.|9/** [reward] curr=-5.71 best=-6.05
146 trigger=accur_.|9/** [reward] curr=1.39 best=-6.05
147 trigger=arch_.|9/** [reward] curr=-6.09 best=-6.09
148 trigger=arch_.|9/** [reward] curr=-4.75 best=-6.09
149 trigger=arch_.|9/** [reward] curr=-6.09 best=-6.09
150 trigger=arch_.|9/** [reward] curr=-5.30 best=-6.09
151 trigger=arch_.|9/** [reward] curr=-6.09 best=-6.09
152 trigger=arch_.|9/** [reward] curr=-5.60 best=-6.09
153 trigger=arch_.|9/** [reward] curr=-4.17 best=-6.09
154 trigger=arch_.|9/** [reward] curr=-5.48 best=-6.09
155 trigger=arch_.|9/** [reward] curr=-4.17 best=-6.09
156 trigger=arch_.|9/** [reward] curr=-5.48 best=-6.09
157 trigger=arch_.|9/** [reward] curr=1.43 best=-6.09
158 trigger=arch_.|/**/** [reward] curr=-7.70 best=-7.70
159 trigger=arch_.|/**/** [reward] curr=-5.05 best=-7.70
[dets trigger] arch_.|/**/**	 (3190,5396,29989,7918,7918)
160 trigger=arch_.|/**/** [reward] curr=-6.43 best=-7.70
161 trigger=arch_.|/**/** [reward] curr=-6.86 best=-7.70
162 trigger=arch_.|/**/** [reward] curr=0.53 best=-7.70
163 trigger=arch_.|/**/** [reward] curr=0.08 best=-7.70
164 trigger=arch_.|/**/** [reward] curr=-7.70 best=-7.70
